Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
387,0.15717423,387,0.058641672,387,0.130361438
388,0.15717423,388,0.058172822,388,0.130361438
389,0.157080531,389,0.057047725,389,0.130361438
390,0.156986833,390,0.056578875,390,0.130361438
391,0.156986833,391,0.055547833,391,0.130361438
392,0.156893134,392,0.055078983,392,0.130361438
393,0.156893134,393,0.054047585,393,0.130361438
394,0.156799078,394,0.053485036,394,0.130361438
395,0.156799078,395,0.052547693,395,0.130455136
396,0.156705379,396,0.052078843,396,0.130455136
397,0.156705379,397,0.051047802,397,0.130361438
398,0.156611681,398,0.050578952,398,0.130361438
399,0.156611681,399,0.049641252,399,0.130361438
400,0.156517982,400,0.049172759,400,0.130455136
401,0.002671838,401,-0.117142439,401,-0.043735027
402,0.002390742,402,-0.118454933,402,-0.043828726
403,0.001640797,403,-0.118829906,403,-0.044110179
404,0.001359344,404,-0.119486153,404,-0.044297576
405,0.000984192,405,-0.120048702,405,-0.044484973
406,0.000422001,406,-0.1201424,406,-0.044578671
407,-4.68493E-05,407,-0.120329976,407,-0.044672728
408,-0.000234246,408,-0.12061125,408,-0.044672728
409,-0.000328302,409,-0.120986223,409,-0.044578671
410,-0.000609398,410,-0.121361196,410,-0.044578671
411,-0.000890493,411,-0.121548772,411,-0.044484973
412,-0.001078248,412,-0.121736348,412,-0.044391274
413,-0.001171947,413,-0.12314254,413,-0.044297576
414,-0.001359344,414,-0.124267638,414,-0.044203877
415,-0.001547098,415,-0.124830008,415,-0.044110179
416,-0.001547098,416,-0.125673831,416,-0.04401648
417,-0.001640797,417,-0.126236379,417,-0.043922424
418,-0.001734495,418,-0.127080023,418,-0.043828726
419,-0.001734495,419,-0.127642572,419,-0.043735027
420,-0.001828194,420,-0.128205121,420,-0.043735027
421,-0.001828194,421,-0.128955066,421,-0.043735027
422,-0.001828194,422,-0.129330218,422,-0.043735027
423,-0.001828194,423,-0.129986465,423,-0.043641329
424,-0.001921892,424,-0.130548835,424,-0.043641329
425,-0.001921892,425,-0.130830109,425,-0.043641329
426,-0.001921892,426,-0.131486356,426,-0.043641329
427,-0.001921892,427,-0.132048905,427,-0.043641329
428,-0.001921892,428,-0.132330179,428,-0.04354763
429,-0.001921892,429,-0.132986426,429,-0.043453932
430,-0.002015591,430,-0.133548975,430,-0.043360233
431,-0.002015591,431,-0.133736372,431,-0.043266177
432,-0.002015591,432,-0.134205222,432,-0.043172479
433,-0.002015591,433,-0.134861469,433,-0.042985082
434,-0.002015591,434,-0.135142744,434,-0.042891383
435,-0.002015591,435,-0.135424018,435,-0.042703629
436,-0.001921892,436,-0.135986567,436,-0.04260993
437,-0.001921892,437,-0.136455238,437,-0.042422533
438,-0.001828194,438,-0.136736512,438,-0.042422533
439,-0.001828194,439,-0.137017787,439,-0.042328835
440,-0.001828194,440,-0.137580335,440,-0.042235136
441,-0.001828194,441,-0.138049006,441,-0.042235136
442,-0.001828194,442,-0.138705254,442,-0.042235136
443,-0.001828194,443,-0.138892829,443,-0.042235136
444,-0.001921892,444,-0.139361501,444,-0.042141438
445,-0.001921892,445,-0.139642775,445,-0.042141438
446,-0.001921892,446,-0.139830351,446,-0.042141438
